PhraseId,SentenceId,Phrase,Sentiment,Phrase(origin),Sentiment(predict),Difference(Phrase),Difference(Sentence)
75258,3861,"comedy that is warm , inviting , and surprising",4,"comedy that is warm , inviting , and surprising",0,4,2.3
75256,3861,"A comedy that is warm , inviting , and surprising .",4,"A comedy that is warm , inviting , and surprising .",0,4,2.3
75257,3861,"comedy that is warm , inviting , and surprising .",3,"comedy that is warm , inviting , and surprising .",0,3,2.3
43307,2092,very best,4,very best,2,2,2.2857142857142856
43303,2092,one of this year 's very best pictures,4,one of this year 's very best pictures,2,2,2.2857142857142856
43301,2092,is one of this year 's very best pictures .,4,is one of this year 's very best pictures .,1,3,2.2857142857142856
43304,2092,of this year 's very best pictures,4,of this year 's very best pictures,2,2,2.2857142857142856
43305,2092,this year 's very best pictures,4,this year 's very best pictures,2,2,2.2857142857142856
43306,2092,very best pictures,4,very best pictures,2,2,2.2857142857142856
43302,2092,is one of this year 's very best pictures,4,is one of this year 's very best pictures,1,3,2.2857142857142856
89817,4674,"everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation",4,"everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation",0,4,2.263157894736842
89812,4674,"Scooby Doo is surely everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation .",4,"Scooby Doo is surely everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation .",0,4,2.263157894736842
89830,4674,deserves recommendation,3,deserves recommendation,2,1,2.263157894736842
89829,4674,that deserves recommendation,3,that deserves recommendation,2,1,2.263157894736842
89823,4674,"it will be ,",3,"it will be ,",2,1,2.263157894736842
89816,4674,"is surely everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation",3,"is surely everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation",0,3,2.263157894736842
89815,4674,"is surely everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation .",4,"is surely everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation .",0,4,2.263157894736842
89814,4674,Doo,2,Doo,2,0,2.263157894736842
89813,4674,Scooby Doo,2,Scooby Doo,2,0,2.263157894736842
89818,4674,"its fans are hoping it will be , and in that sense is a movie that deserves recommendation",3,"its fans are hoping it will be , and in that sense is a movie that deserves recommendation",0,3,2.263157894736842
89822,4674,"it will be , and",2,"it will be , and",3,1,2.263157894736842
89820,4674,"hoping it will be , and in that sense is a movie that deserves recommendation",3,"hoping it will be , and in that sense is a movie that deserves recommendation",0,3,2.263157894736842
89828,4674,a movie that deserves recommendation,4,a movie that deserves recommendation,2,2,2.263157894736842
89824,4674,it will be,2,it will be,2,0,2.263157894736842
89825,4674,in that sense is a movie that deserves recommendation,3,in that sense is a movie that deserves recommendation,0,3,2.263157894736842
89819,4674,"are hoping it will be , and in that sense is a movie that deserves recommendation",3,"are hoping it will be , and in that sense is a movie that deserves recommendation",0,3,2.263157894736842
89826,4674,sense is a movie that deserves recommendation,3,sense is a movie that deserves recommendation,0,3,2.263157894736842
89821,4674,"it will be , and in that sense is a movie that deserves recommendation",3,"it will be , and in that sense is a movie that deserves recommendation",0,3,2.263157894736842
89827,4674,is a movie that deserves recommendation,4,is a movie that deserves recommendation,0,4,2.263157894736842
113466,6031,Below is well below expectations .,0,Below is well below expectations .,3,3,2.25
113467,6031,is well below expectations .,0,is well below expectations .,3,3,2.25
113469,6031,below expectations,3,below expectations,2,1,2.25
113468,6031,is well below expectations,1,is well below expectations,3,2,2.25
30620,1423,The history is fascinating,3,The history is fascinating,2,1,2.142857142857143
30619,1423,The history is fascinating ;,4,The history is fascinating ;,2,2,2.142857142857143
30618,1423,The history is fascinating ; the action is dazzling,4,The history is fascinating ; the action is dazzling,1,3,2.142857142857143
30621,1423,is fascinating,4,is fascinating,2,2,2.142857142857143
30622,1423,the action is dazzling,4,the action is dazzling,2,2,2.142857142857143
30623,1423,is dazzling,4,is dazzling,2,2,2.142857142857143
30617,1423,The history is fascinating ; the action is dazzling .,4,The history is fascinating ; the action is dazzling .,1,3,2.142857142857143
93811,4893,derivative elements,2,derivative elements,2,0,2.125
93816,4893,a beauty to behold,4,a beauty to behold,2,2,2.125
93817,4893,beauty to behold,3,beauty to behold,2,1,2.125
93812,4893,that is often quite rich and exciting,4,that is often quite rich and exciting,0,4,2.125
93815,4893,rich and exciting,3,rich and exciting,2,1,2.125
93808,4893,"derivative elements into something that is often quite rich and exciting ,",3,"derivative elements into something that is often quite rich and exciting ,",3,0,2.125
93814,4893,quite rich and exciting,4,quite rich and exciting,2,2,2.125
93807,4893,"derivative elements into something that is often quite rich and exciting , and",4,"derivative elements into something that is often quite rich and exciting , and",0,4,2.125
93809,4893,derivative elements into something that is often quite rich and exciting,4,derivative elements into something that is often quite rich and exciting,0,4,2.125
93806,4893,"derivative elements into something that is often quite rich and exciting , and always",3,"derivative elements into something that is often quite rich and exciting , and always",0,3,2.125
93813,4893,is often quite rich and exciting,4,is often quite rich and exciting,2,2,2.125
93805,4893,"derivative elements into something that is often quite rich and exciting , and always a beauty to behold",4,"derivative elements into something that is often quite rich and exciting , and always a beauty to behold",0,4,2.125
93802,4893,"Melds derivative elements into something that is often quite rich and exciting , and always a beauty to behold .",4,"Melds derivative elements into something that is often quite rich and exciting , and always a beauty to behold .",0,4,2.125
93803,4893,"Melds derivative elements into something that is often quite rich and exciting , and always a beauty to behold",3,"Melds derivative elements into something that is often quite rich and exciting , and always a beauty to behold",0,3,2.125
93810,4893,derivative elements into something,2,derivative elements into something,2,0,2.125
93804,4893,Melds,2,Melds,2,0,2.125
133218,7187,viscerally exciting,4,viscerally exciting,2,2,2.066666666666667
133227,7187,epic adventure,4,epic adventure,2,2,2.066666666666667
133226,7187,of epic adventure,3,of epic adventure,2,1,2.066666666666667
133215,7187,", viscerally exciting , and dramatically moving , it 's the very definition of epic adventure .",4,", viscerally exciting , and dramatically moving , it 's the very definition of epic adventure .",0,4,2.066666666666667
133216,7187,"viscerally exciting , and dramatically moving , it 's the very definition of epic adventure .",4,"viscerally exciting , and dramatically moving , it 's the very definition of epic adventure .",0,4,2.066666666666667
133217,7187,"viscerally exciting , and dramatically moving",4,"viscerally exciting , and dramatically moving",2,2,2.066666666666667
133219,7187,", and dramatically moving",4,", and dramatically moving",2,2,2.066666666666667
133224,7187,'s the very definition of epic adventure,3,'s the very definition of epic adventure,2,1,2.066666666666667
133220,7187,dramatically moving,4,dramatically moving,2,2,2.066666666666667
133221,7187,", it 's the very definition of epic adventure .",3,", it 's the very definition of epic adventure .",2,1,2.066666666666667
133222,7187,it 's the very definition of epic adventure .,4,it 's the very definition of epic adventure .,2,2,2.066666666666667
133223,7187,'s the very definition of epic adventure .,3,'s the very definition of epic adventure .,2,1,2.066666666666667
133213,7187,"Visually breathtaking , viscerally exciting , and dramatically moving , it 's the very definition of epic adventure .",4,"Visually breathtaking , viscerally exciting , and dramatically moving , it 's the very definition of epic adventure .",0,4,2.066666666666667
133214,7187,Visually breathtaking,3,Visually breathtaking,2,1,2.066666666666667
133225,7187,the very definition of epic adventure,4,the very definition of epic adventure,2,2,2.066666666666667
109540,5803,unbearably lame .,0,unbearably lame .,2,2,2.0
109539,5803,... unbearably lame .,0,... unbearably lame .,2,2,2.0
103572,5462,Adaptation is simply brilliant .,4,Adaptation is simply brilliant .,2,2,2.0
103573,5462,is simply brilliant .,4,is simply brilliant .,2,2,2.0
103574,5462,is simply brilliant,4,is simply brilliant,2,2,2.0
139462,7565,Just plain bad .,0,Just plain bad .,2,2,2.0
155176,8495,Disgusting .,0,Disgusting .,2,2,2.0
69923,3557,This thing is just garbage .,0,This thing is just garbage .,2,2,2.0
110552,5859,"An uplifting , near-masterpiece",4,"An uplifting , near-masterpiece",2,2,2.0
110553,5859,near-masterpiece,4,near-masterpiece,2,2,2.0
71848,3666,'s nowhere near as good as the original,1,'s nowhere near as good as the original,3,2,2.0
71847,3666,'s nowhere near as good as the original .,1,'s nowhere near as good as the original .,3,2,2.0
71846,3666,it 's nowhere near as good as the original .,1,it 's nowhere near as good as the original .,3,2,2.0
71845,3666,", it 's nowhere near as good as the original .",1,", it 's nowhere near as good as the original .",3,2,2.0
71844,3666,bad of a movie,1,bad of a movie,0,1,2.0
71843,3666,all that bad of a movie,2,all that bad of a movie,0,2,2.0
71842,3666,not all that bad of a movie,3,not all that bad of a movie,0,3,2.0
71841,3666,While not all that bad of a movie,2,While not all that bad of a movie,0,2,2.0
71840,3666,"While not all that bad of a movie , it 's nowhere near as good as the original .",1,"While not all that bad of a movie , it 's nowhere near as good as the original .",3,2,2.0
49009,2392,Terrible .,0,Terrible .,2,2,2.0
139249,7548,Surprisingly powerful and universal .,4,Surprisingly powerful and universal .,2,2,2.0
139250,7548,Surprisingly powerful and universal,4,Surprisingly powerful and universal,2,2,2.0
69924,3557,is just garbage .,0,is just garbage .,2,2,2.0
86068,4455,An exhilarating experience .,4,An exhilarating experience .,2,2,2.0
109541,5803,lame .,0,lame .,2,2,2.0
69925,3557,is just garbage,0,is just garbage,2,2,2.0
145829,7927,Really quite funny,4,Really quite funny,2,2,2.0
66975,3400,I loved this film .,4,I loved this film .,2,2,2.0
118481,6330,Huppert ... is magnificent,4,Huppert ... is magnificent,2,2,2.0
18421,807,Execrable .,0,Execrable .,2,2,2.0
109215,5783,This is just lazy writing .,0,This is just lazy writing .,3,3,2.0
118477,6330,"are both superb , while Huppert ... is magnificent",4,"are both superb , while Huppert ... is magnificent",2,2,2.0
118478,6330,"are both superb ,",4,"are both superb ,",2,2,2.0
118479,6330,are both superb,4,are both superb,2,2,2.0
118480,6330,while Huppert ... is magnificent,4,while Huppert ... is magnificent,2,2,2.0
118482,6330,... is magnificent,4,... is magnificent,2,2,2.0
109216,5783,is just lazy writing .,0,is just lazy writing .,2,2,2.0
118483,6330,is magnificent,4,is magnificent,2,2,2.0
116355,6204,It 's a masterpiece .,4,It 's a masterpiece .,2,2,2.0
116356,6204,'s a masterpiece .,4,'s a masterpiece .,2,2,2.0
116357,6204,'s a masterpiece,4,'s a masterpiece,2,2,2.0
124454,6686,Horrible .,0,Horrible .,2,2,2.0
137444,7436,lame comedy .,0,lame comedy .,2,2,2.0
18422,807,Execrable,0,Execrable,2,2,2.0
24676,1124,The film is one of the year 's best .,4,The film is one of the year 's best .,1,3,2.0
24677,1124,is one of the year 's best .,4,is one of the year 's best .,2,2,2.0
24678,1124,is one of the year 's best,4,is one of the year 's best,2,2,2.0
142354,7723,... a true delight .,4,... a true delight .,2,2,2.0
142355,7723,a true delight .,4,a true delight .,2,2,2.0
92056,4791,Idiotic and ugly .,0,Idiotic and ugly .,2,2,2.0
92057,4791,Idiotic and ugly,0,Idiotic and ugly,2,2,2.0
35728,1684,A compelling film .,4,A compelling film .,2,2,2.0
35729,1684,compelling film .,4,compelling film .,2,2,2.0
139699,7579,Refreshing .,4,Refreshing .,2,2,2.0
24679,1124,one of the year 's best,4,one of the year 's best,2,2,2.0
24680,1124,of the year 's best,3,of the year 's best,2,1,2.0
24681,1124,the year 's best,4,the year 's best,2,2,2.0
35855,1692,The worst film of the year .,0,The worst film of the year .,2,2,2.0
35856,1692,The worst film of the year,0,The worst film of the year,2,2,2.0
92058,4791,Idiotic and,0,Idiotic and,2,2,2.0
137443,7436,A lame comedy .,0,A lame comedy .,2,2,2.0
109217,5783,is just lazy writing,0,is just lazy writing,2,2,2.0
66976,3400,loved this film .,4,loved this film .,2,2,2.0
118476,6330,"are both superb , while Huppert ... is magnificent .",4,"are both superb , while Huppert ... is magnificent .",2,2,2.0
47035,2293,Daring and beautifully made .,4,Daring and beautifully made .,2,2,2.0
130817,7049,One-of-a-kind near-masterpiece .,4,One-of-a-kind near-masterpiece .,2,2,2.0
12384,530,best films,4,best films,2,2,2.0
77869,4005,A thought-provoking picture .,4,A thought-provoking picture .,2,2,2.0
77870,4005,thought-provoking picture .,4,thought-provoking picture .,2,2,2.0
145828,7927,Really quite funny .,4,Really quite funny .,2,2,2.0
111204,5895,This is one of the year 's best films .,4,This is one of the year 's best films .,2,2,2.0
109218,5783,is just lazy,0,is just lazy,2,2,2.0
111205,5895,is one of the year 's best films .,4,is one of the year 's best films .,2,2,2.0
104440,5511,stupid and annoying,0,stupid and annoying,2,2,2.0
104439,5511,Very stupid and annoying,0,Very stupid and annoying,2,2,2.0
104438,5511,Very stupid and annoying .,0,Very stupid and annoying .,2,2,2.0
139251,7548,powerful and universal,4,powerful and universal,2,2,2.0
66977,3400,loved this film,4,loved this film,2,2,2.0
47036,2293,Daring and beautifully made,4,Daring and beautifully made,2,2,2.0
47037,2293,beautifully made,4,beautifully made,2,2,2.0
130818,7049,near-masterpiece .,4,near-masterpiece .,2,2,2.0
139463,7565,plain bad .,0,plain bad .,2,2,2.0
30056,1395,unwatchable,0,unwatchable,2,2,2.0
30055,1395,virtually unwatchable,0,virtually unwatchable,2,2,2.0
104540,5518,Crummy .,0,Crummy .,2,2,2.0
111013,5882,A gem of a movie,4,A gem of a movie,2,2,2.0
111012,5882,A gem of a movie .,4,A gem of a movie .,2,2,2.0
30054,1395,is virtually unwatchable,0,is virtually unwatchable,2,2,2.0
24514,1115,Truly terrible .,0,Truly terrible .,2,2,2.0
24515,1115,Truly terrible,0,Truly terrible,2,2,2.0
30053,1395,is virtually unwatchable .,0,is virtually unwatchable .,2,2,2.0
30052,1395,This thing is virtually unwatchable .,0,This thing is virtually unwatchable .,2,2,2.0
109285,5787,riveting documentary .,4,riveting documentary .,2,2,2.0
109284,5787,A riveting documentary .,4,A riveting documentary .,2,2,2.0
109219,5783,just lazy,1,just lazy,2,1,2.0
110551,5859,"An uplifting , near-masterpiece .",4,"An uplifting , near-masterpiece .",2,2,2.0
150808,8219,full of grace,4,full of grace,2,2,2.0
79349,4087,I can not recommend it .,0,I ca n't recommend it .,2,2,2.0
120086,6423,wise and powerful tale,4,wise and powerful tale,2,2,2.0
44617,2162,"A beautiful , entertaining two hours",4,"A beautiful , entertaining two hours",2,2,2.0
79350,4087,can not recommend it .,0,ca n't recommend it .,2,2,2.0
44619,2162,entertaining two hours,4,entertaining two hours,2,2,2.0
82934,4282,An infuriating film .,0,An infuriating film .,2,2,2.0
82935,4282,infuriating film .,0,infuriating film .,2,2,2.0
120081,6423,"It 's a wise and powerful tale of race and culture forcefully told , with superb performances throughout .",4,"It 's a wise and powerful tale of race and culture forcefully told , with superb performances throughout .",0,4,2.0
120082,6423,"'s a wise and powerful tale of race and culture forcefully told , with superb performances throughout .",3,"'s a wise and powerful tale of race and culture forcefully told , with superb performances throughout .",0,3,2.0
120083,6423,"'s a wise and powerful tale of race and culture forcefully told , with superb performances throughout",4,"'s a wise and powerful tale of race and culture forcefully told , with superb performances throughout",0,4,2.0
120084,6423,"a wise and powerful tale of race and culture forcefully told , with superb performances throughout",4,"a wise and powerful tale of race and culture forcefully told , with superb performances throughout",0,4,2.0
120085,6423,a wise and powerful tale,4,a wise and powerful tale,2,2,2.0
120087,6423,wise and powerful,3,wise and powerful,2,1,2.0
82704,4270,biggest disappointments,0,biggest disappointments,2,2,2.0
120088,6423,"of race and culture forcefully told , with superb performances throughout",3,"of race and culture forcefully told , with superb performances throughout",2,1,2.0
120089,6423,"race and culture forcefully told , with superb performances throughout",4,"race and culture forcefully told , with superb performances throughout",2,2,2.0
120090,6423,race and culture,2,race and culture,2,0,2.0
120091,6423,"forcefully told , with superb performances throughout",4,"forcefully told , with superb performances throughout",2,2,2.0
120092,6423,"told , with superb performances throughout",4,"told , with superb performances throughout",2,2,2.0
120093,6423,"told ,",2,"told ,",2,0,2.0
120094,6423,with superb performances throughout,3,with superb performances throughout,2,1,2.0
120095,6423,superb performances throughout,4,superb performances throughout,2,2,2.0
120096,6423,superb performances,4,superb performances,2,2,2.0
94606,4938,Insanely hilarious,4,Insanely hilarious,2,2,2.0
44616,2162,"A beautiful , entertaining two hours .",4,"A beautiful , entertaining two hours .",2,2,2.0
138601,7508,Amazingly lame .,0,Amazingly lame .,2,2,2.0
114979,6123,What an embarrassment .,0,What an embarrassment .,2,2,2.0
82697,4270,This is one of the biggest disappointments of the year .,0,This is one of the biggest disappointments of the year .,3,3,2.0
129731,6980,Highly engaging .,4,Highly engaging .,2,2,2.0
154774,8466,` perfection,4,` perfection,2,2,2.0
154773,8466,it ` perfection,4,it ` perfection,2,2,2.0
7973,325,See it .,4,See it .,2,2,2.0
113298,6020,real snooze .,0,real snooze .,2,2,2.0
113297,6020,A real snooze .,0,A real snooze .,2,2,2.0
154772,8466,Consider it ` perfection,4,Consider it ` perfection,2,2,2.0
154771,8466,Consider it ` perfection .,4,Consider it ` perfection .,2,2,2.0
51899,2560,captivating .,4,captivating .,2,2,2.0
51898,2560,Visually captivating .,4,Visually captivating .,2,2,2.0
154770,8466,Consider it ` perfection . ',4,Consider it ` perfection . ',2,2,2.0
86622,4486,delightfully rendered,4,delightfully rendered,2,2,2.0
82698,4270,is one of the biggest disappointments of the year .,0,is one of the biggest disappointments of the year .,3,3,2.0
82699,4270,is one of the biggest disappointments of the year,0,is one of the biggest disappointments of the year,3,3,2.0
82700,4270,one of the biggest disappointments of the year,1,one of the biggest disappointments of the year,2,1,2.0
82701,4270,of the biggest disappointments of the year,0,of the biggest disappointments of the year,2,2,2.0
82702,4270,the biggest disappointments of the year,1,the biggest disappointments of the year,2,1,2.0
82703,4270,the biggest disappointments,1,the biggest disappointments,2,1,2.0
117686,6281,Thumbs down .,0,Thumbs down .,2,2,2.0
117687,6281,Thumbs down,0,Thumbs down,2,2,2.0
87521,4541,Thoroughly awful,0,Thoroughly awful,2,2,2.0
87520,4541,Thoroughly awful .,0,Thoroughly awful .,2,2,2.0
94605,4938,Insanely hilarious !,4,Insanely hilarious !,2,2,2.0
44618,2162,"beautiful , entertaining two hours",4,"beautiful , entertaining two hours",2,2,2.0
107490,5679,Fantastic !,4,Fantastic !,2,2,2.0
150801,8219,"This is a movie full of grace and , ultimately , hope .",4,"This is a movie full of grace and , ultimately , hope .",0,4,2.0
12383,530,the best films,3,the best films,2,1,2.0
150802,8219,"This is a movie full of grace and , ultimately , hope",3,"This is a movie full of grace and , ultimately , hope",0,3,2.0
150803,8219,"This is a movie full of grace and ,",4,"This is a movie full of grace and ,",0,4,2.0
150804,8219,This is a movie full of grace and,4,This is a movie full of grace and,0,4,2.0
65222,3301,... bibbidy-bobbidi-bland .,0,... bibbidy-bobbidi-bland .,2,2,2.0
12382,530,the best films of the year,4,the best films of the year,2,2,2.0
12381,530,of the best films of the year,4,of the best films of the year,2,2,2.0
150805,8219,This is a movie full of grace,4,This is a movie full of grace,3,1,2.0
150811,8219,", hope",2,", hope",2,0,2.0
126103,6774,Stale and,0,Stale and,2,2,2.0
150810,8219,"ultimately , hope",2,"ultimately , hope",2,0,2.0
65223,3301,bibbidy-bobbidi-bland .,0,bibbidy-bobbidi-bland .,2,2,2.0
65224,3301,bibbidy-bobbidi-bland,0,bibbidy-bobbidi-bland,2,2,2.0
65379,3310,Extremely bad .,0,Extremely bad .,2,2,2.0
65380,3310,Extremely bad,0,Extremely bad,2,2,2.0
12380,530,powerful sequel,4,powerful sequel,2,2,2.0
150809,8219,of grace,3,of grace,2,1,2.0
150807,8219,a movie full of grace,4,a movie full of grace,2,2,2.0
126104,6775,Moving and vibrant .,4,Moving and vibrant .,2,2,2.0
12379,530,a powerful sequel,4,a powerful sequel,2,2,2.0
96083,5019,A major waste ... generic,0,A major waste ... generic,2,2,2.0
96082,5019,A major waste ... generic .,0,A major waste ... generic .,2,2,2.0
126105,6775,Moving and vibrant,4,Moving and vibrant,2,2,2.0
144269,7831,gripping drama .,4,gripping drama .,2,2,2.0
144268,7831,A gripping drama .,4,A gripping drama .,2,2,2.0
25762,1178,Amazing !,4,Amazing !,2,2,2.0
96086,5019,major waste,0,major waste,2,2,2.0
96085,5019,A major waste,0,A major waste,2,2,2.0
96084,5019,A major waste ...,0,A major waste ...,2,2,2.0
150806,8219,is a movie full of grace,3,is a movie full of grace,2,1,2.0
114980,6123,an embarrassment .,0,an embarrassment .,2,2,2.0
114981,6123,embarrassment .,0,embarrassment .,2,2,2.0
12374,530,... a powerful sequel and one of the best films of the year .,4,... a powerful sequel and one of the best films of the year .,1,3,2.0
12375,530,a powerful sequel and one of the best films of the year .,4,a powerful sequel and one of the best films of the year .,1,3,2.0
12376,530,a powerful sequel and one of the best films of the year,4,a powerful sequel and one of the best films of the year,1,3,2.0
12377,530,a powerful sequel and one,3,a powerful sequel and one,2,1,2.0
12378,530,a powerful sequel and,3,a powerful sequel and,2,1,2.0
15817,678,in a while,2,in a while,2,0,1.9545454545454546
15818,678,a while,2,a while,2,0,1.9545454545454546
15814,678,I 've had in a while,2,I 've had in a while,2,0,1.9545454545454546
15813,678,at the movies,2,at the movies,2,0,1.9545454545454546
15816,678,had in a while,2,had in a while,2,0,1.9545454545454546
15815,678,'ve had in a while,2,'ve had in a while,2,0,1.9545454545454546
15801,678,makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while,4,makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while,1,3,1.9545454545454546
15802,678,for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while,4,for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while,1,3,1.9545454545454546
15806,678,the most purely enjoyable and satisfying evenings at the movies,4,the most purely enjoyable and satisfying evenings at the movies,1,3,1.9545454545454546
15807,678,the most purely enjoyable and satisfying evenings,4,the most purely enjoyable and satisfying evenings,1,3,1.9545454545454546
15808,678,most purely enjoyable and satisfying evenings,4,most purely enjoyable and satisfying evenings,1,3,1.9545454545454546
15809,678,most purely enjoyable and satisfying,4,most purely enjoyable and satisfying,1,3,1.9545454545454546
15810,678,most purely enjoyable and,3,most purely enjoyable and,1,2,1.9545454545454546
15805,678,the most purely enjoyable and satisfying evenings at the movies I 've had in a while,4,the most purely enjoyable and satisfying evenings at the movies I 've had in a while,1,3,1.9545454545454546
15804,678,of the most purely enjoyable and satisfying evenings at the movies I 've had in a while,4,of the most purely enjoyable and satisfying evenings at the movies I 've had in a while,1,3,1.9545454545454546
15803,678,one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while,4,one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while,1,3,1.9545454545454546
15812,678,evenings,2,evenings,2,0,1.9545454545454546
15800,678,makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .,4,makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .,1,3,1.9545454545454546
15799,678,it makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .,4,it makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .,1,3,1.9545454545454546
15798,678,but it makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .,4,but it makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .,1,3,1.9545454545454546
15797,678,-- but it makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .,4,-- but it makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .,1,3,1.9545454545454546
15811,678,most purely enjoyable,4,most purely enjoyable,2,2,1.9545454545454546
116542,6214,hard to like a film so cold and dead,1,hard to like a film so cold and dead,4,3,1.9411764705882353
116539,6214,some sense,2,some sense,2,0,1.9411764705882353
116540,6214,it 's hard to like a film so cold and dead,0,it 's hard to like a film so cold and dead,4,4,1.9411764705882353
116541,6214,'s hard to like a film so cold and dead,0,'s hard to like a film so cold and dead,4,4,1.9411764705882353
116543,6214,to like a film so cold and dead,2,to like a film so cold and dead,4,2,1.9411764705882353
116544,6214,like a film so cold and dead,1,like a film so cold and dead,4,3,1.9411764705882353
116538,6214,in some sense,2,in some sense,2,0,1.9411764705882353
116532,6214,"Trouble Every Day is a success in some sense , but it 's hard to like a film so cold and dead",0,"Trouble Every Day is a success in some sense , but it 's hard to like a film so cold and dead",4,4,1.9411764705882353
116531,6214,"Trouble Every Day is a success in some sense , but it 's hard to like a film so cold and dead .",1,"Trouble Every Day is a success in some sense , but it 's hard to like a film so cold and dead .",4,3,1.9411764705882353
116537,6214,a success in some sense,2,a success in some sense,2,0,1.9411764705882353
116545,6214,a film so cold and dead,0,a film so cold and dead,4,4,1.9411764705882353
116546,6214,so cold and dead,1,so cold and dead,2,1,1.9411764705882353
116547,6214,cold and dead,0,cold and dead,2,2,1.9411764705882353
116533,6214,"Trouble Every Day is a success in some sense , but",2,"Trouble Every Day is a success in some sense , but",2,0,1.9411764705882353
116534,6214,"Trouble Every Day is a success in some sense ,",3,"Trouble Every Day is a success in some sense ,",2,1,1.9411764705882353
116536,6214,is a success in some sense,3,is a success in some sense,2,1,1.9411764705882353
116535,6214,Trouble Every Day is a success in some sense,3,Trouble Every Day is a success in some sense,2,1,1.9411764705882353
153852,8404,"the movie 's contrived , lame screenplay",0,"the movie 's contrived , lame screenplay",2,2,1.9285714285714286
153854,8404,", lame screenplay",1,", lame screenplay",2,1,1.9285714285714286
153853,8404,"contrived , lame screenplay",1,"contrived , lame screenplay",2,1,1.9285714285714286
153848,8404,"compared to the movie 's contrived , lame screenplay and listless direction",1,"compared to the movie 's contrived , lame screenplay and listless direction",3,2,1.9285714285714286
153851,8404,"the movie 's contrived , lame screenplay and",0,"the movie 's contrived , lame screenplay and",2,2,1.9285714285714286
153850,8404,"the movie 's contrived , lame screenplay and listless direction",0,"the movie 's contrived , lame screenplay and listless direction",2,2,1.9285714285714286
153847,8404,"nothing compared to the movie 's contrived , lame screenplay and listless direction",0,"nothing compared to the movie 's contrived , lame screenplay and listless direction",3,3,1.9285714285714286
